,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
2985,2010.0,15,Eagles,0.0,0.6153846153846154,1.6923076923076923,Giants,224.30769230769232,23.692307692307693,10.153846153846153,DST,103.53846153846153,2.5384615384615383,0.0,327.84615384615387,0.15384615384615385,0.5384615384615384
3028,2010.0,16,Eagles,0.0,0.6428571428571429,1.6428571428571428,Min,227.14285714285714,24.214285714285715,10.285714285714286,DST,103.28571428571429,2.5,0.0,330.42857142857144,0.21428571428571427,0.5714285714285714
3060,2010.0,17,Eagles,0.0,0.6666666666666666,1.5333333333333334,Cowboys,223.73333333333332,24.2,9.933333333333334,DST,107.13333333333334,2.466666666666667,0.0,330.8666666666667,0.2,0.5333333333333333
1540,2011.0,1,Eagles,0.0,1.0,0.0,Rams,181.0,13.0,20.0,DST,154.0,5.0,0.0,335.0,1.0,1.0
1580,2011.0,2,Eagles,0.0,1.0,0.0,Falcons,181.0,13.0,20.0,DST,154.0,5.0,0.0,335.0,1.0,1.0
1630,2011.0,3,Eagles,0.0,0.5,1.0,Giants,180.5,24.0,14.0,DST,146.0,4.5,0.0,326.5,0.5,1.0
1649,2011.0,4,Eagles,0.0,0.3333333333333333,0.6666666666666666,49ers,197.66666666666666,25.666666666666668,10.333333333333334,DST,131.33333333333334,4.0,0.0,329.0,0.3333333333333333,0.6666666666666666
1685,2011.0,5,Eagles,0.25,0.5,0.5,Bills,217.75,25.25,9.75,DST,139.5,3.75,0.0,357.25,0.25,0.5
1693,2011.0,6,Eagles,0.2,0.4,0.6,Redskins,211.8,26.4,8.4,DST,140.2,3.2,0.0,352.0,0.2,0.6
1750,2011.0,8,Eagles,0.16666666666666666,0.3333333333333333,1.1666666666666667,Cowboys,217.33333333333334,24.166666666666668,9.833333333333334,DST,123.83333333333333,3.0,0.0,341.1666666666667,0.16666666666666666,0.6666666666666666
