,Fumble TD,Fumbles Lost,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Position,Fumble TD M2E,Fumble TD EV,Fumbles Lost M2E,Fumbles Lost EV,Pass 2PT M2E,Pass 2PT EV,Pass Attempts M2E,Pass Attempts EV,Pass Completions M2E,Pass Completions EV,Pass Interceptions M2E,Pass Interceptions EV,Pass TD M2E,Pass TD EV,Pass Yards M2E,Pass Yards EV,Receiving 2PT M2E,Receiving 2PT EV,Receiving TD M2E,Receiving TD EV,Receiving Yards M2E,Receiving Yards EV,Receptions M2E,Receptions EV,Rush 2PT M2E,Rush 2PT EV,Rush Attempts M2E,Rush Attempts EV,Rush TD M2E,Rush TD EV,Rush Yards M2E,Rush Yards EV
Jonathan Stewart,0.0,0.0985915492958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0704225352113,16529935.5634,113.774647887,0.0,13634414.7042,1.0985915493,97913235369.9,"3653     RB
3708     RB
3818     RB
4132     RB
4214     RB
4310     RB
4361     RB
4462     RB
4599     RB
4676     RB
4783     RB
4854     RB
4972     RB
5726     RB
5801     RB
5895     RB
5954     RB
6049     RB
6142     RB
6542     RB
6748     RB
6840     RB
6993     RB
7054     RB
7143     RB
7211     RB
7274     RB
7403     RB
7909     RB
8002     RB
         ..
9365     RB
9444     RB
9529     RB
9607     RB
9708     RB
9870     RB
9939     RB
10016    RB
10235    RB
10317    RB
10407    RB
10501    RB
10601    RB
10704    RB
10813    RB
10881    RB
10976    RB
11067    RB
11169    RB
11214    RB
11283    RB
11374    RB
11532    RB
11591    RB
11684    RB
11765    RB
11883    RB
11981    RB
12038    RB
12132    RB
Name: Position, Length: 71, dtype: object",0.0,1.0,0.009720293592541162,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.06912208776918158,0.0,5.6119514578255784e+29,0.0,2744379526921.961,0.0,0.0,1.0,185897264326796.5,0.0,1.2069033921840906,0.0,9.587001660607228e+21,0.0
Leonte Carroo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robby Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Marshall,0.0,0.0549450549451,0.0,0.010989010989,0.0,0.0,0.0,0.0,0.021978021978,5.49450549451,342939982700.0,68185.7472527,0.0,0.043956043956,0.0,1.8021978022,"12249    WR
12344    WR
12411    WR
12539    WR
12708    WR
12822    WR
12913    WR
13017    WR
13117    WR
13204    WR
13493    WR
13587    WR
13705    WR
13809    WR
13912    WR
14021    WR
14164    WR
14265    WR
14426    WR
14523    WR
14625    WR
14674    WR
14783    WR
14960    WR
14976    WR
15112    WR
15213    WR
15302    WR
15408    WR
15561    WR
         ..
19534    WR
19621    WR
19731    WR
19932    WR
20039    WR
20114    WR
20229    WR
20334    WR
20438    WR
20527    WR
20633    WR
20759    WR
20865    WR
21018    WR
21078    WR
21194    WR
21308    WR
21417    WR
21615    WR
21745    WR
21837    WR
21935    WR
22025    WR
22125    WR
22207    WR
22326    WR
22441    WR
22597    WR
22669    WR
22785    WR
Name: Position, Length: 91, dtype: object",0.0,1.0,0.0030189590629151066,0.0,0.0,1.0,0.0001207583625166043,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0004830334500664172,0.0,26.63769807725852,0.0,5.6068147516645935e+29,0.0,2523474960995.777,0.0,0.0,1.0,0.0019321338002656688,0.0,0.0,1.0,3.2479169182465886,0.0
Ross Travis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Brown,0.0,0.428571428571,0.0,0.0595238095238,0.0357142857143,0.0119047619048,0.0119047619048,17508.6309524,0.0357142857143,4.42857142857,8.20869986477e+12,608170.452381,0.0,1.59523809524,0.0,1351802.04762,"12597    WR
13226    WR
13442    WR
13537    WR
13670    WR
13754    WR
13841    WR
13986    WR
14046    WR
14148    WR
14259    WR
14379    WR
14491    WR
14513    WR
14600    WR
14689    WR
14795    WR
14998    WR
15117    WR
15184    WR
15339    WR
15473    WR
15548    WR
15629    WR
15752    WR
15854    WR
15976    WR
16101    WR
16218    WR
16315    WR
         ..
19202    WR
19317    WR
19421    WR
19517    WR
19755    WR
19898    WR
19948    WR
20083    WR
20190    WR
20586    WR
20661    WR
20757    WR
20859    WR
20996    WR
21070    WR
21186    WR
21318    WR
21468    WR
21565    WR
21685    WR
21727    WR
21838    WR
21913    WR
22005    WR
22256    WR
22321    WR
22466    WR
22554    WR
22713    WR
22783    WR
Name: Position, Length: 84, dtype: object",0.0,1.0,0.18367346938775508,0.0,0.0,1.0,0.0035430839002267562,0.0,0.0012755102040816321,0.0,0.0001417233560090702,0.0,0.00014172335600907008,0.0,306552157.82667214,0.0,0.0012755102040816334,0.0,16.77097505668935,0.0,5.489637930677891e+29,0.0,1099478522982.9032,-2.02817989280058e+31,0.0,1.0,2.5447845804988662,0.0,0.0,1.0,1827368775947.0503,0.0
C.J. Prosise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Olsen,0.0,0.0326086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0108695652174,1.4347826087,181621970236.0,18053.9673913,0.0,0.0,0.0,0.0,"22928    TE
22955    TE
22993    TE
23061    TE
23128    TE
23184    TE
23224    TE
23277    TE
23328    TE
23375    TE
23434    TE
23486    TE
23559    TE
23598    TE
23660    TE
23735    TE
23777    TE
23845    TE
23872    TE
23921    TE
23982    TE
24076    TE
24122    TE
24158    TE
24191    TE
24251    TE
24299    TE
24339    TE
24380    TE
24445    TE
         ..
26117    TE
26174    TE
26207    TE
26260    TE
26296    TE
26350    TE
26410    TE
26462    TE
26531    TE
26537    TE
26652    TE
26708    TE
26755    TE
26811    TE
26834    TE
26912    TE
27063    TE
27095    TE
27142    TE
27208    TE
27343    TE
27418    TE
27461    TE
27517    TE
27566    TE
27646    TE
27698    TE
27735    TE
27805    TE
27835    TE
Name: Position, Length: 92, dtype: object",0.0,1.0,0.0010633270321361058,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.00011814744801512289,0.0,1.2131905061961772,0.0,5.609230867442575e+29,0.0,2685261324747.9966,-4.953432842865657e+31,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Cameron Brate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.230769230769,4212230415.77,1329.38461538,0.0,0.0,0.0,0.0,"23085    TE
23220    TE
23231    TE
23310    TE
23371    TE
23379    TE
23427    TE
23523    TE
23584    TE
23625    TE
23665    TE
23744    TE
25983    TE
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.010519395134779744,0.0,5.6118885955338315e+29,0.0,2740353404617.03,-5.055059792648899e+31,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
