50+,FGA,FGM,Name,Opponent,Points,Position,Week,XPA,XPM,Year
1,1,1,Matt Bryant,@Was,8.0,K,5,3,3,2012
1,1,1,Greg Zuerlein,Ari,7.0,K,5,2,2,2012
0,3,2,Mike Nugent,Mia,7.0,K,5,1,1,2012
0,1,1,Garrett Hartley,SD,7.0,K,5,4,4,2012
0,1,1,Stephen Gostkowski,Den,7.0,K,5,4,4,2012
0,2,2,Ryan Succop,Bal,6.0,K,5,0,0,2012
0,2,1,Nick Novak,@NO,6.0,K,5,3,3,2012
0,1,1,Nick Folk,Hou,5.0,K,5,2,2,2012
0,2,1,Billy Cundiff,Atl,5.0,K,5,2,2,2012
0,2,1,Dan Carpenter,@Cin,5.0,K,5,2,2,2012
0,1,1,Justin Medlock,Sea,4.0,K,5,1,1,2012
0,1,1,Josh Scobee,Chi,3.0,K,5,0,0,2012
0,0,0,Matt Prater,@NE,3.0,K,5,3,3,2012
0,1,1,Rian Lindell,@SF,3.0,K,5,0,0,2012
0,2,1,Jay Feely,@Stl,3.0,K,5,0,0,2012
0,2,0,Mason Crosby,@Ind,3.0,K,5,3,3,2012
0,0,0,Alex Henery,@Pit,2.0,K,5,2,2,2012
0,0,0,Rob Bironas,@Min,1.0,K,5,1,1,2012
0,0,0,Jon Ryan,@Car,0.0,K,5,0,0,2012
0,5,4,Lawrence Tynes,@SF,14.0,K,6,2,2,2012
0,4,4,Jason Hanson,@Phi,14.0,K,6,2,2,2012
0,4,4,Rob Bironas,Pit,14.0,K,6,2,2,2012
1,4,3,Shaun Suisham,@Ten,13.0,K,6,2,2,2012
1,4,3,Matt Bryant,Oak,13.0,K,6,2,2,2012
0,4,4,Blair Walsh,@Was,12.0,K,6,0,0,2012
1,4,3,Jay Feely,Buf,12.0,K,6,1,1,2012
1,3,3,Adam Vinatieri,@NYJ,11.0,K,6,0,0,2012
0,3,3,Alex Henery,Det,11.0,K,6,2,2,2012
0,3,3,Stephen Gostkowski,@Sea,11.0,K,6,2,2,2012
0,4,3,Dan Bailey,@Bal,11.0,K,6,2,2,2012
1,2,2,Sebastian Janikowski,@Atl,10.0,K,6,2,2,2012
1,1,1,Kai Forbath,Min,10.0,K,6,5,5,2012
0,2,2,Phil Dawson,Cin,10.0,K,6,4,4,2012
1,1,1,Shayne Graham,GB,8.0,K,6,3,3,2012
0,2,1,Connor Barth,KC,8.0,K,6,5,5,2012
0,1,1,Justin Tucker,Dal,7.0,K,6,4,4,2012
0,5,2,Greg Zuerlein,@Mia,6.0,K,6,0,0,2012
0,1,1,Mike Nugent,@Cle,6.0,K,6,3,3,2012
0,1,1,Nick Novak,Den,6.0,K,6,3,3,2012
0,1,1,Stephen Hauschka,NE,6.0,K,6,3,3,2012
0,0,0,Mason Crosby,@Hou,6.0,K,6,6,6,2012
0,0,0,Matt Prater,@SD,5.0,K,6,5,5,2012
0,1,1,Rian Lindell,@Ari,5.0,K,6,2,2,2012
0,0,0,Nick Folk,Ind,5.0,K,6,5,5,2012
0,1,1,Dan Carpenter,Stl,5.0,K,6,2,2,2012
0,1,1,Ryan Succop,@TB,4.0,K,6,1,1,2012
0,3,1,David Akers,NYG,3.0,K,6,0,0,2012
0,0,0,Jon Ryan,NE,0.0,K,6,0,0,2012
0,0,0,Michael Koenen,KC,-1.0,K,6,0,0,2012
1,4,4,Nick Folk,@NE,16.0,K,7,2,2,2012
0,5,4,Sebastian Janikowski,Jax,14.0,K,7,2,2,2012
1,3,3,Josh Scobee,@Oak,13.0,K,7,2,2,2012
0,4,4,Dan Bailey,@Car,13.0,K,7,1,1,2012
0,4,3,Mason Crosby,@Stl,12.0,K,7,3,3,2012
2,2,2,Justin Tucker,@Hou,11.0,K,7,1,1,2012
0,2,2,Shayne Graham,Bal,11.0,K,7,5,5,2012
0,3,3,Kai Forbath,@NYG,11.0,K,7,2,2,2012
1,2,2,Greg Zuerlein,GB,10.0,K,7,2,2,2012
0,3,3,Shaun Suisham,@Cin,10.0,K,7,1,1,2012
0,2,2,Rian Lindell,Ten,10.0,K,7,4,4,2012
0,2,2,Lawrence Tynes,Was,9.0,K,7,3,3,2012
0,2,2,Stephen Gostkowski,NYJ,9.0,K,7,3,3,2012
1,3,2,Stephen Hauschka,@SF,8.0,K,7,0,0,2012
0,3,2,Robbie Gould,Det,7.0,K,7,1,1,2012
0,2,2,David Akers,Sea,7.0,K,7,1,1,2012
0,1,1,Adam Vinatieri,Cle,5.0,K,7,2,2,2012
0,1,1,Mike Nugent,Pit,5.0,K,7,2,2,2012
0,0,0,Garrett Hartley,@TB,5.0,K,7,5,5,2012
0,0,0,Rob Bironas,@Buf,5.0,K,7,5,5,2012
0,1,0,Connor Barth,NO,4.0,K,7,4,4,2012
0,0,0,Blair Walsh,Ari,3.0,K,7,3,3,2012
0,0,0,Justin Medlock,Dal,2.0,K,7,2,2,2012
0,1,0,Jay Feely,@Min,2.0,K,7,2,2,2012
0,0,0,Jason Hanson,@Chi,1.0,K,7,1,1,2012
0,0,0,Phil Dawson,@Ind,1.0,K,7,1,1,2012
0,5,5,Lawrence Tynes,@Dal,17.0,K,8,2,2,2012
0,5,5,Justin Medlock,@Chi,16.0,K,8,1,1,2012
0,4,4,Sebastian Janikowski,@KC,14.0,K,8,2,2,2012
1,3,3,Ryan Succop,Oak,12.0,K,8,1,1,2012
0,3,3,Dan Carpenter,@NYJ,12.0,K,8,3,3,2012
0,3,3,Matt Bryant,@Phi,12.0,K,8,3,3,2012
0,3,3,Connor Barth,@Min,12.0,K,8,3,3,2012
0,2,2,Matt Prater,NO,10.0,K,8,4,4,2012
0,2,2,Shaun Suisham,Was,9.0,K,8,3,3,2012
0,3,3,Josh Scobee,@GB,9.0,K,8,0,0,2012
0,1,1,Stephen Gostkowski,@Stl,9.0,K,8,6,6,2012
1,1,1,Dan Bailey,NYG,8.0,K,8,3,3,2012
1,1,1,Blair Walsh,TB,7.0,K,8,2,2,2012
0,3,2,Adam Vinatieri,@Ten,7.0,K,8,1,1,2012
0,3,2,Rob Bironas,Ind,7.0,K,8,1,1,2012
0,2,2,Nick Novak,@Cle,6.0,K,8,0,0,2012
0,2,1,Stephen Hauschka,@Det,6.0,K,8,3,3,2012
0,2,2,Kai Forbath,@Pit,6.0,K,8,1,0,2012
0,2,1,Mason Crosby,Jax,6.0,K,8,3,3,2012
0,1,1,David Akers,@Ari,6.0,K,8,3,3,2012
0,1,1,Alex Henery,Atl,5.0,K,8,2,2,2012
0,2,1,Robbie Gould,Car,5.0,K,8,2,2,2012
0,0,0,Jason Hanson,Sea,4.0,K,8,4,4,2012
0,2,1,Nick Folk,Mia,3.0,K,8,0,0,2012
0,1,1,Jay Feely,SF,3.0,K,8,0,0,2012
0,0,0,Garrett Hartley,@Den,2.0,K,8,2,2,2012
0,0,0,Greg Zuerlein,NE,1.0,K,8,1,1,2012
0,0,0,Phil Dawson,SD,1.0,K,8,1,1,2012
0,0,0,Tim Masthay,Jax,0.0,K,8,0,0,2012
0,0,0,Johnny Hekker,NE,0.0,K,8,0,0,2012
0,3,3,Robbie Gould,@Ten,15.0,K,9,6,6,2012
0,5,5,Phil Dawson,Bal,15.0,K,9,0,0,2012
0,6,4,Matt Bryant,Dal,13.0,K,9,1,1,2012
0,5,3,Adam Vinatieri,Mia,11.0,K,9,2,2,2012
0,4,3,Mike Nugent,Den,11.0,K,9,2,2,2012
1,2,2,Blair Walsh,@Sea,10.0,K,9,2,2,2012
1,3,2,Lawrence Tynes,Pit,10.0,K,9,2,2,2012
0,4,3,Rian Lindell,@Hou,9.0,K,9,0,0,2012
0,2,2,Dan Carpenter,@Ind,8.0,K,9,2,2,2012
0,3,2,Ryan Succop,@SD,7.0,K,9,1,1,2012
0,1,1,Matt Prater,@Cin,7.0,K,9,4,4,2012
0,1,1,Nick Novak,KC,7.0,K,9,4,4,2012
0,2,2,Alex Henery,@NO,7.0,K,9,1,1,2012
0,2,1,Jason Hanson,@Jax,7.0,K,9,4,4,2012
0,2,2,Kai Forbath,Car,7.0,K,9,1,1,2012
0,2,1,Mason Crosby,Ari,7.0,K,9,4,4,2012
0,3,2,Dan Bailey,@Atl,7.0,K,9,1,1,2012
0,1,1,Shaun Suisham,@NYG,6.0,K,9,3,3,2012
0,1,1,Sebastian Janikowski,TB,6.0,K,9,3,3,2012
0,1,1,Stephen Hauschka,Min,6.0,K,9,4,3,2012
0,2,0,Connor Barth,@Oak,6.0,K,9,6,6,2012
0,1,1,Justin Tucker,@Cle,5.0,K,9,2,2,2012
0,1,1,Jay Feely,@GB,5.0,K,9,2,2,2012
0,1,0,Garrett Hartley,Phi,4.0,K,9,4,4,2012
0,1,1,Rob Bironas,Chi,4.0,K,9,1,1,2012
0,1,0,Justin Medlock,@Was,3.0,K,9,3,3,2012
0,1,0,Shayne Graham,Buf,3.0,K,9,3,3,2012
0,0,0,Shane Lechler,TB,0.0,K,9,0,0,2012
1,3,3,Rob Bironas,@Mia,15.0,K,10,4,4,2012
0,4,4,Blair Walsh,Det,14.0,K,10,2,2,2012
0,2,2,Justin Tucker,Oak,13.0,K,10,7,7,2012
0,3,3,Stephen Gostkowski,Buf,13.0,K,10,4,4,2012
1,3,2,Matt Prater,@Car,12.0,K,10,4,4,2012
0,3,3,Shaun Suisham,KC,10.0,K,10,1,1,2012
0,2,2,Connor Barth,SD,10.0,K,10,4,4,2012
0,2,2,Adam Vinatieri,@Jax,9.0,K,10,3,3,2012
0,2,2,Matt Bryant,@NO,9.0,K,10,3,3,2012
0,2,2,Sebastian Janikowski,@Bal,8.0,K,10,2,2,2012
