,Fumble TD,Fumbles Lost,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Position,Fumble TD M2E,Fumble TD EV,Fumbles Lost M2E,Fumbles Lost EV,Pass 2PT M2E,Pass 2PT EV,Pass Attempts M2E,Pass Attempts EV,Pass Completions M2E,Pass Completions EV,Pass Interceptions M2E,Pass Interceptions EV,Pass TD M2E,Pass TD EV,Pass Yards M2E,Pass Yards EV,Receiving 2PT M2E,Receiving 2PT EV,Receiving TD M2E,Receiving TD EV,Receiving Yards M2E,Receiving Yards EV,Receptions M2E,Receptions EV,Rush 2PT M2E,Rush 2PT EV,Rush Attempts M2E,Rush Attempts EV,Rush TD M2E,Rush TD EV,Rush Yards M2E,Rush Yards EV
Charles Clay,0.0,-0.05951716702471836,0.0,0.0,0.0,0.0,0.0,0.0,-0.022060480141988605,-0.03880751824803976,-0.03293240800250225,-0.007956204424639346,0.0,-0.008771394260614379,0.2815949614936972,-0.01315543155691858,"22917    TE
22957    TE
22996    TE
23045    TE
23125    TE
23142    TE
23199    TE
23316    TE
23338    TE
23407    TE
23448    TE
23484    TE
23593    TE
23863    TE
23985    TE
24054    TE
24151    TE
24220    TE
24276    TE
24360    TE
24425    TE
24478    TE
24594    TE
24625    TE
24692    TE
24733    TE
24778    TE
24870    TE
24917    TE
24968    TE
         ..
25468    TE
25520    TE
25570    TE
25659    TE
25683    TE
25773    TE
25781    TE
25824    TE
25870    TE
26013    TE
26058    TE
26100    TE
26148    TE
26372    TE
26516    TE
26571    TE
26594    TE
26680    TE
26688    TE
26776    TE
26900    TE
26946    TE
27003    TE
29690    TE
29759    TE
29845    TE
29881    TE
29926    TE
29984    TE
30054    TE
Name: Position, Length: 69, dtype: object",0.0,1.0,4.81482486096809e-35,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.2037062152420224e-35,0.0,7.69807840539456e-05,0.0,0.0002232713848690838,0.0,2.9928587670334757e-07,0.0,0.0,1.0,3.4524456919211705e-05,0.0,0.10162410680804498,0.0,1.3976962755238896e-10,0.0
Tyreek Hill,-0.008901998767625182,-0.0376657222030361,0.0,-0.009166768192301236,-0.009093279269011583,-0.017806114244894058,-0.03672717231242844,-0.012032881866237232,-0.08534814816129521,-0.04627105842075707,-0.010763770177064202,-0.05587809909218322,-0.008901998767625182,-0.014137627625603302,-0.01455117907917386,-0.009193356975995978,"28826    WR
29014    WR
29102    WR
29168    WR
29431    WR
29477    WR
29580    WR
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,7.330615195360886e-27,0.0,4.007487065343113e-30,0.0,1.6035505050744494e-27,0.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,3.009265538105056e-36,0.0
Cameron Meredith,-0.008901998767625182,0.09845846420591897,0.0,-0.009166768192301236,-0.009093279269011576,-0.017806114244894058,-0.03672717231242844,-0.012032881866237232,-0.08534814816129521,-0.056559270417665175,0.055660919742115844,2.0891235996314634,-0.008901998767625182,-0.014141873540170435,-0.01455117907917386,-0.009212015323318374,"21250    WR
21553    WR
21705    WR
22196    WR
22872    WR
29111    WR
29213    WR
29253    WR
29356    WR
29544    WR
29643    WR
Name: Position, dtype: object",0.0,1.0,0.0038976453004031303,0.0,0.0,1.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,4.474397483998202e-29,0.0,6.867234631576107e-11,0.0,5.246013060735432e-07,0.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,0.0,1.0
Mychal Rivera,0.0,-0.02917925514588271,0.0,0.0,0.0,0.0,0.0,0.0,-0.022060480141988605,-0.05212019688888603,-0.03590289100918214,-0.049315439743176925,0.0,-0.014647145865235847,-0.03719040016528009,-0.013167253977463985,"22936    TE
22974    TE
23069    TE
23103    TE
23201    TE
23303    TE
23340    TE
23397    TE
23449    TE
23513    TE
23548    TE
23621    TE
23734    TE
24605    TE
24642    TE
24702    TE
24732    TE
24809    TE
24838    TE
24965    TE
25003    TE
25037    TE
25119    TE
25156    TE
25192    TE
25241    TE
25296    TE
25363    TE
25408    TE
25469    TE
25526    TE
25574    TE
25711    TE
25735    TE
25776    TE
25816    TE
25865    TE
25944    TE
25975    TE
25998    TE
26062    TE
26135    TE
26173    TE
29863    TE
29949    TE
29987    TE
30017    TE
Name: Position, dtype: object",0.0,1.0,0.0009203888971679975,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.2037062152420224e-35,0.0,0.00010479790460377273,0.0,2.9158580592982033e-08,0.0,1.2652783022550374e-05,0.0,0.0,1.0,1.2037062152420224e-35,0.0,0.0,1.0,3.009265538105056e-36,0.0
Jamison Crowder,-0.008901998767625182,-0.01898626287766092,0.0,-0.009121702955976474,-0.009093279269011578,-0.017806114244894058,-0.03672717231242844,-0.012032881866237233,0.5250053731433582,-0.049881851565032775,5.5990062492128345e-05,0.3534490910205932,-0.008901998767625182,-0.014141870034941901,-0.01455117907917386,-0.009212030149435778,"21177    WR
21291    WR
21342    WR
21450    WR
21535    WR
21665    WR
21760    WR
21961    WR
22016    WR
22199    WR
22297    WR
22395    WR
22533    WR
22654    WR
22735    WR
22792    WR
28838    WR
28925    WR
29035    WR
29218    WR
29303    WR
29357    WR
29482    WR
29575    WR
Name: Position, dtype: object",0.0,1.0,0.00034892220068834587,0.0,0.0,1.0,2.0308755250066685e-09,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3725314209689899,0.0,3.222837544410409e-06,0.0,2.7107183646517498e-05,0.0,8.316454958116598e-05,0.0,0.0,1.0,1.6823758434978415e-16,0.0,0.0,1.0,9.789567836272179e-17,0.0
Derrick Henry,0.0,-0.07088421258695853,0.0,-0.055589021985328856,-0.03320445500854596,-0.014152045525279,-0.02831259801595088,-0.0100294118713246,-0.04479308591452912,-0.02922472600025392,-0.024179959862897782,-0.042964247529475585,-0.06733531265686164,-0.04101259285203085,-0.05852988654994683,-0.0317843328036225,"28170    RB
28253    RB
28346    RB
28463    RB
28501    RB
28592    RB
28699    RB
28717    RB
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.227900710168387e-31,0.0,7.703719777548943e-34,0.0,0.0,1.0,2.359264181874364e-33,0.0,0.0,1.0,7.703719777548943e-34,0.0
Davante Adams,-0.008901998767625182,-0.023170078391829104,0.0,-0.009166768192301236,-0.009093279269011578,-0.017806114244894058,-0.03672717231242844,-0.012032881866237233,0.1426253729067657,0.4273283001815166,0.03537555463741129,6.1264971595699595,-0.008901998767625182,-0.014141911401828997,-0.01455117907917386,-0.009212017112773349,"15778    WR
15961    WR
16066    WR
16107    WR
16233    WR
16338    WR
16446    WR
16705    WR
16756    WR
16907    WR
16937    WR
17147    WR
17253    WR
17353    WR
21115    WR
21255    WR
21912    WR
21932    WR
22034    WR
22164    WR
22302    WR
22356    WR
22536    WR
22629    WR
22725    WR
22835    WR
28803    WR
29003    WR
29046    WR
29259    WR
29422    WR
29459    WR
29611    WR
Name: Position, dtype: object",0.0,1.0,0.004984287905676979,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.2037062152420224e-35,0.0,0.051971926308169616,0.0,0.00015488762195151723,0.0,1.6000042644247707e-06,0.0,1.7403846408261363,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Jalen Richard,0.0,-0.07088421258695853,0.0,-0.055589021985328856,-0.03320445500854596,-0.014152045525279,-0.02831259801595088,-0.0100294118713246,-0.04479308591452912,-0.02922472600025392,0.03432104233386429,0.08198774213502846,-0.06733531265686164,-0.06314179001984942,-0.05852988654994683,-0.025954857504726092,"28136    RB
28268    RB
28350    RB
28441    RB
28488    RB
28614    RB
28690    RB
28752    RB
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.81482486096809e-35,0.0,1.7333369499485123e-33,0.0,0.0,1.0,3.851859888774472e-34,0.5,0.0,1.0,4.81482486096809e-35,0.0
Aaron Ripkowski,0.0,-0.07088421258695853,0.0,-0.055589021985328856,-0.03320445500854596,-0.014152045525279,-0.02831259801595088,-0.0100294118713246,-0.04479308591452912,-0.02922472600025392,-0.027475646745983795,-0.05084709801565168,-0.06733531265686164,-0.06331398977409464,-0.06014164175485233,-0.03285304386315602,"8615     RB
28518    RB
28613    RB
28689    RB
28751    RB
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.4831961037479547e-13,0.0,1.03557494572147e-16,0.0,0.0,1.0,1.253113094770586e-16,0.0,0.0,1.0,3.9609833940191643e-17,0.0
Carson Palmer,0.0,0.2374404939150736,-0.04518297014129402,2.2921540248878713,2.1646406884916587,0.32140923193505255,0.20572742948627365,0.8847499516130881,0.0,-0.03456918686761862,-0.02733270261275001,-0.027418381429957457,-0.06750077715157911,-0.06530295592116886,-0.05583860021278042,-0.028880678925389792,"14       QB
55       QB
85       QB
135      QB
195      QB
220      QB
252      QB
276      QB
313      QB
355      QB
406      QB
419      QB
458      QB
513      QB
561      QB
610      QB
650      QB
689      QB
729      QB
755      QB
798      QB
819      QB
845      QB
908      QB
939      QB
988      QB
1018     QB
1047     QB
1102     QB
1134     QB
         ..
2737     QB
2779     QB
2802     QB
2857     QB
2883     QB
2938     QB
2959     QB
2998     QB
3053     QB
3096     QB
3103     QB
3153     QB
3207     QB
3250     QB
3281     QB
3319     QB
3354     QB
3401     QB
3416     QB
3466     QB
3510     QB
3520     QB
3574     QB
27869    QB
27893    QB
27959    QB
27982    QB
28046    QB
28081    QB
28101    QB
Name: Position, Length: 86, dtype: object",0.0,1.0,0.09041420647143732,0.0,8.087586832337351e-07,0.0,0.023417827086772328,0.0,0.16234407118683522,0.0,0.021845146806156342,0.0,0.007489893908553898,0.0,0.023838442333079184,0.0,0.0,1.0,4.81482486096809e-35,0.0,4.81482486096809e-35,0.0,1.0833355937178202e-34,0.0,1.925929944387236e-34,0.0,9.314739129189315e-08,0.0,0.00035848654361419693,0.0,8.421239690453253e-14,0.0
Michael Thomas,-0.008901998767625182,-0.0376657222030361,0.0,-0.009166768192301236,-0.009093279269011583,-0.017806114244894058,-0.03672717231242844,-0.012032881866237232,-0.08534814816129521,-0.049902192066777665,0.030792298684936326,0.8073866832269807,-0.008901998767625182,-0.014141911401828997,-0.01455117907917386,-0.009212017112773349,"28833    WR
28947    WR
29033    WR
29154    WR
29350    WR
29470    WR
29612    WR
Name: Position, dtype: object",0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.009265538105056e-36,0.0,0.0,1.0,0.0,1.0
Rishard Matthews,-0.008901998767625182,-0.0376657222030361,0.0,-0.009166768192301234,-0.009093279269011583,-0.01780611424489406,-0.03672717231242845,-0.012032881866237232,-0.08534814816129523,0.0024261474609375,-0.016606267097813543,-0.06436289678094909,-0.008901998767625182,-0.014141907804638976,-0.014551179079173863,-0.009212017112383343,"15840    WR
15949    WR
16039    WR
16450    WR
16552    WR
16695    WR
16889    WR
17121    WR
17229    WR
17753    WR
17878    WR
18281    WR
18387    WR
18422    WR
18558    WR
18707    WR
18789    WR
18932    WR
18984    WR
19159    WR
19217    WR
20384    WR
20591    WR
20735    WR
20811    WR
20907    WR
21026    WR
21085    WR
21209    WR
21302    WR
21494    WR
21646    WR
21722    WR
21846    WR
21957    WR
22021    WR
22182    WR
28857    WR
28954    WR
29082    WR
29167    WR
29273    WR
29352    WR
29514    WR
29597    WR
Name: Position, dtype: object",3.009265538105056e-36,0.0,0.0,1.0,0.0,1.0,3.009265538105056e-36,0.0,3.009265538105056e-36,0.0,1.2037062152420224e-35,0.0,4.81482486096809e-35,0.0,3.009265538105056e-36,0.0,7.703719777548943e-34,0.0,0.002882617672573956,0.0,2.848311657568555e-06,0.0,1.469254497585731e-06,0.0,3.009265538105056e-36,0.0,1.2939776051125393e-17,0.0,4.81482486096809e-35,0.0,1.5210447414373844e-25,0.0
Antonio Gates,0.0,0.02205966305907836,0.0,0.0,0.0,0.0,0.0,0.0,-0.022060480141988605,0.0736430852947727,-0.03562804946982733,-0.035165770249606876,0.0,-0.014647145865235838,-0.037190400165280094,-0.013167253977463978,"23086    TE
23137    TE
23238    TE
23289    TE
23417    TE
23421    TE
23497    TE
23553    TE
23606    TE
23686    TE
23712    TE
23779    TE
23891    TE
23934    TE
23996    TE
24009    TE
24139    TE
24149    TE
24195    TE
24266    TE
24319    TE
24356    TE
24400    TE
24437    TE
24482    TE
24537    TE
24598    TE
24629    TE
24677    TE
24727    TE
         ..
26095    TE
26153    TE
26209    TE
26494    TE
26542    TE
26580    TE
26642    TE
26686    TE
26731    TE
26788    TE
26832    TE
26899    TE
26953    TE
26986    TE
27040    TE
27089    TE
27139    TE
27189    TE
27236    TE
27318    TE
27335    TE
27374    TE
27573    TE
27604    TE
29701    TE
29737    TE
29878    TE
29955    TE
29979    TE
30018    TE
Name: Position, Length: 86, dtype: object",0.0,1.0,0.08640007129153214,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.2037062152420224e-35,0.0,0.012062172427566369,0.0,2.4634003950932607e-12,0.0,1.1469345338839892e-06,0.0,0.0,1.0,2.7083389842945504e-35,0.0,1.925929944387236e-34,0.0,4.81482486096809e-35,0.0
Lamar Miller,0.0,-0.05012435455244958,0.0,-0.05558902198532885,-0.03320445500854596,-0.014152045525279,-0.02831259801595088,-0.0100294118713246,-0.04479308591452912,-0.0111731558849951,-0.026915265878740165,-0.033462742407281,-0.06733531265686164,0.8342709344760244,-0.0456893225183622,0.2700913999566938,"3616     RB
3730     RB
3788     RB
3871     RB
4034     RB
4116     RB
4210     RB
4293     RB
4402     RB
4441     RB
4538     RB
4592     RB
4687     RB
4793     RB
4850     RB
4938     RB
5105     RB
5126     RB
5232     RB
5305     RB
5433     RB
5576     RB
5644     RB
5715     RB
5831     RB
5882     RB
5960     RB
6031     RB
6135     RB
6209     RB
         ..
7174     RB
7231     RB
7592     RB
7675     RB
7729     RB
7834     RB
7912     RB
8026     RB
8104     RB
8206     RB
8336     RB
8407     RB
8508     RB
8567     RB
8637     RB
8739     RB
8840     RB
8890     RB
8963     RB
9102     RB
9155     RB
9258     RB
28144    RB
28230    RB
28322    RB
28407    RB
28514    RB
28546    RB
28656    RB
28727    RB
Name: Position, Length: 65, dtype: object",0.0,1.0,0.00043097170561296437,0.0,0.0,1.0,4.81482486096809e-35,0.0,0.0,1.0,3.009265538105056e-36,0.0,1.2037062152420224e-35,0.0,0.0,1.0,4.81482486096809e-35,0.0,8.404967726481409e-06,0.0,2.3870257247055305e-08,0.0,1.8809788911243847e-06,0.0,1.925929944387236e-34,0.0,1.5631091945249742,0.0,0.00012608614766610664,0.0,0.01734632144973774,0.0
