,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
76,0,0,0,Buf,208,20,12.00,DST,120,8.0,0,New York JetsNY Jets,328,0,3,2013
77,0,1,3,Cle,306,31,11.00,DST,103,3.0,0,Minnesota VikingsMinnesota,409,0,3,2013
78,0,1,1,@Mia,195,27,10.00,DST,90,5.0,0,Atlanta FalconsAtlanta,285,0,3,2013
79,0,1,1,@Was,300,20,10.00,DST,120,2.0,0,Detroit LionsDetroit,420,0,3,2013
80,1,1,0,SD,175,17,10.00,DST,102,2.0,0,Tennessee TitansTennessee,277,0,3,2013
81,0,0,1,Det,378,27,10.00,DST,63,1.0,0,Washington RedskinsWashington,441,1,3,2013
82,0,0,1,@NO,319,31,6.00,DST,104,4.0,0,Arizona CardinalsArizona,423,0,3,2013
83,0,1,1,@Sea,323,45,6.00,DST,156,2.0,0,Jacksonville JaguarsJacksonville,479,0,3,2013
84,0,0,0,KC,248,26,6.00,DST,146,5.0,0,Philadelphia EaglesPhiladelphia,394,0,3,2013
85,0,0,0,@Ten,282,20,6.00,DST,170,2.0,0,San Diego ChargersSan Diego,452,0,3,2013
86,0,0,1,@NE,202,23,6.00,DST,156,3.0,0,Tampa Bay BuccaneersTampa Bay,358,0,3,2013
87,0,0,2,@NYJ,331,27,5.00,DST,182,0.0,0,Buffalo BillsBuffalo,513,0,3,2013
88,0,1,1,Atl,231,23,5.00,DST,146,0.0,0,Miami DolphinsMiami,377,0,3,2013
89,0,1,1,@Car,208,38,5.00,DST,194,1.0,0,New York GiantsNY Giants,402,0,3,2013
90,0,2,0,@Den,372,37,5.00,DST,164,1.0,0,Oakland RaidersOakland,536,0,3,2013
91,0,0,0,Oak,293,21,4.00,DST,49,3.0,0,Denver BroncosDenver,342,0,3,2013
92,1,0,0,Chi,151,40,4.00,DST,107,2.0,0,Pittsburgh SteelersPittsburgh,258,0,3,2013
93,0,1,0,@Dal,203,31,3.00,DST,193,1.0,0,St. Louis RamsSt. Louis,396,0,3,2013
94,0,0,0,@Bal,161,30,2.00,DST,75,2.0,0,Houston TexansHouston,236,0,3,2013
95,0,0,0,Ind,152,27,2.00,DST,184,1.0,0,San Francisco 49ersSan Francisco,336,0,3,2013
