,Unnamed: 0,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Team,Total Yards,Touchdowns,Week,Year
119,119,0,0,0,Chiefs,261,29,4.0,DST,168,4.0,0,Redskins,429,0,4,2017
120,120,0,0,0,Patriots,293,30,3.0,DST,80,3.0,0,Panthers,373,0,4,2017
121,121,0,0,0,Packers,169,35,2.0,DST,91,2.0,0,Bears,260,0,4,2017
122,122,0,0,0,Eagles,240,26,2.0,DST,214,1.0,0,Chargers,454,0,4,2017
123,123,0,0,0,Buccaneers,323,25,2.0,DST,111,1.0,0,Giants,434,0,4,2017
124,124,0,0,0,Rams,244,35,1.0,DST,168,1.0,0,Cowboys,412,0,4,2017
125,125,0,0,0,Giants,288,23,1.0,DST,91,0.0,0,Buccaneers,379,0,4,2017
126,126,0,0,5,Steelers,301,9,31.0,DST,70,2.0,0,Jaguars,371,2,5,2017
127,127,0,2,0,Titans,119,10,23.0,DST,69,6.0,0,Dolphins,188,1,5,2017
128,128,0,3,2,Rams,275,10,19.0,DST,100,2.0,0,Steelers,375,0,5,2017
129,129,0,1,0,Raiders,137,17,15.0,DST,108,3.0,0,Ravens,245,1,5,2017
130,130,0,2,1,Cowboys,245,31,13.0,DST,163,1.0,0,Packers,408,1,5,2017
131,131,1,1,0,Cardinals,276,7,13.0,DST,31,2.0,0,Eagles,307,0,5,2017
132,132,0,0,1,Bills,139,16,12.0,DST,82,6.0,0,Bengals,221,0,5,2017
133,133,0,1,2,Bengals,323,20,11.0,DST,65,1.0,0,Bills,388,0,5,2017
134,134,0,1,0,Texans,248,34,11.0,DST,144,3.0,0,Chiefs,392,1,5,2017
135,135,0,0,2,Steelers,179,16,11.0,DST,62,3.0,0,Rams,241,0,5,2017
136,136,0,1,2,Browns,279,14,11.0,DST,140,1.0,0,Jets,419,0,5,2017
137,137,0,1,1,Patriots,289,19,11.0,DST,113,3.0,0,Buccaneers,402,0,5,2017
138,138,0,0,0,Vikings,141,20,10.0,DST,159,4.0,1,Bears,300,0,5,2017
139,139,0,1,1,Giants,183,22,10.0,DST,152,5.0,0,Chargers,335,0,5,2017
140,140,0,1,0,Lions,192,24,9.0,DST,50,6.0,0,Panthers,242,0,5,2017
141,141,0,0,1,Jets,178,17,9.0,DST,34,3.0,0,Browns,212,0,5,2017
142,142,0,1,1,Bears,159,17,9.0,DST,115,1.0,0,Vikings,274,0,5,2017
143,143,0,1,1,Dolphins,78,16,9.0,DST,100,1.0,0,Titans,178,0,5,2017
144,144,0,0,1,Colts,288,26,7.0,DST,159,4.0,0,49ers,447,0,5,2017
145,145,0,1,0,Packers,182,35,6.0,DST,160,4.0,0,Cowboys,342,0,5,2017
146,146,0,0,0,Buccaneers,319,14,6.0,DST,90,2.0,0,Patriots,409,0,5,2017
147,147,0,0,1,Chargers,258,27,5.0,DST,124,0.0,1,Giants,382,0,5,2017
148,148,0,0,0,Panthers,334,27,4.0,DST,28,3.0,0,Lions,362,0,5,2017
149,149,0,0,1,Jaguars,82,30,4.0,DST,231,2.0,0,Steelers,313,0,5,2017
150,150,0,0,1,Eagles,297,34,3.0,DST,122,1.0,0,Cardinals,419,0,5,2017
151,151,0,0,0,49ers,336,23,3.0,DST,66,2.0,0,Colts,402,0,5,2017
152,152,0,0,0,Chiefs,323,42,1.0,DST,127,1.0,0,Texans,450,0,5,2017
153,153,0,0,0,Ravens,222,30,0.0,DST,143,0.0,0,Raiders,365,0,5,2017
154,154,0,2,3,Lions,281,38,33.0,DST,66,5.0,0,Saints,347,3,6,2017
155,155,1,0,1,Jaguars,220,17,25.0,DST,169,5.0,0,Rams,389,2,6,2017
156,156,1,1,2,Broncos,366,10,25.0,DST,46,4.0,0,Giants,412,1,6,2017
157,157,0,0,3,Browns,113,17,22.0,DST,134,4.0,1,Texans,247,1,6,2017
158,158,0,2,0,Bears,111,27,21.0,DST,231,4.0,0,Ravens,342,2,6,2017
159,159,0,1,2,Saints,186,52,18.0,DST,193,0.0,0,Lions,379,2,6,2017
160,160,0,0,3,Packers,155,10,17.0,DST,72,4.0,0,Vikings,227,0,6,2017
161,161,0,1,2,Ravens,166,24,16.0,DST,125,3.0,0,Bears,291,1,6,2017
162,162,0,1,2,Jets,334,17,14.0,DST,74,4.0,0,Patriots,408,0,6,2017
163,163,0,0,0,Chiefs,223,13,12.0,DST,28,3.0,1,Steelers,251,0,6,2017
164,164,0,1,1,Cardinals,272,38,12.0,DST,160,2.0,0,Buccaneers,432,1,6,2017
165,165,0,0,1,Texans,217,33,9.0,DST,123,1.0,0,Browns,340,1,6,2017
166,166,0,0,1,Titans,305,36,9.0,DST,168,1.0,0,Colts,473,1,6,2017
167,167,0,0,2,Raiders,165,16,9.0,DST,109,1.0,0,Chargers,274,0,6,2017
168,168,0,0,3,Panthers,225,23,9.0,DST,80,2.0,0,Eagles,305,0,6,2017
169,169,0,0,1,Falcons,239,17,8.0,DST,100,2.0,0,Dolphins,339,0,6,2017
170,170,0,0,1,Steelers,245,19,7.0,DST,194,1.0,0,Chiefs,439,0,6,2017
171,171,0,1,0,Chargers,263,17,7.0,DST,80,1.0,0,Raiders,343,0,6,2017
172,172,0,0,2,Buccaneers,344,33,6.0,DST,70,2.0,0,Cardinals,414,0,6,2017
173,173,0,0,1,Dolphins,151,20,6.0,DST,138,0.0,0,Falcons,289,0,6,2017
174,174,1,0,0,Giants,118,23,6.0,DST,148,3.0,0,Broncos,266,0,6,2017
175,175,0,1,0,Rams,107,27,6.0,DST,142,3.0,0,Jaguars,249,0,6,2017
176,176,0,1,1,Redskins,325,26,6.0,DST,94,1.0,0,49ers,419,0,6,2017
