,Unnamed: 0,Fumble TD,Fumbles Lost,Name,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Week,Year
103,103,0,0,Emmanuel Sanders,Broncos,0,0,0,0,0,0,18.0,WR,0,2,62,6,0,0,0,0,2,2017
104,104,0,0,J.J. Nelson,Colts,0,0,0,0,0,0,18.0,WR,0,1,120,5,0,0,0,0,2,2017
105,105,0,0,Jermaine Kearse,Raiders,0,0,0,0,0,0,18.0,WR,0,2,64,4,0,0,0,0,2,2017
106,106,0,0,Alshon Jeffery,Chiefs,0,0,0,0,0,0,15.0,WR,0,1,92,7,0,0,0,0,2,2017
107,107,0,0,Mike Evans,Buccaneers,0,0,0,0,0,0,15.0,WR,0,1,93,7,0,0,0,0,2,2017
108,108,0,0,Martavis Bryant,Steelers,0,0,0,0,0,0,15.0,WR,0,1,91,3,0,1,0,7,2,2017
109,109,0,0,Davante Adams,Falcons,0,0,0,0,0,0,15.0,WR,0,1,99,8,0,0,0,0,2,2017
110,110,0,0,Allen Hurns,Jaguars,0,0,0,0,0,0,14.0,WR,0,1,82,6,0,0,0,0,2,2017
111,111,0,0,Brandon Coleman,Saints,0,0,0,0,0,0,14.0,WR,0,1,82,4,0,0,0,0,2,2017
112,112,0,0,Chris Hogan,Saints,0,0,0,0,0,0,13.0,WR,0,1,78,5,0,0,0,0,2,2017
113,113,0,0,Deonte Thompson,Buccaneers,0,0,0,0,0,0,11.0,WR,0,1,57,4,0,0,0,0,2,2017
114,114,0,0,Cordarrelle Patterson,Raiders,0,0,0,0,0,0,11.0,WR,0,0,6,1,0,3,1,57,2,2017
115,115,0,0,Dez Bryant,Broncos,0,0,0,0,0,0,11.0,WR,0,1,59,7,0,0,0,0,2,2017
116,116,0,0,Julio Jones,Falcons,0,0,0,0,0,0,10.0,WR,0,0,108,5,0,0,0,0,2,2017
117,117,0,0,Keenan Allen,Chargers,0,0,0,0,0,0,10.0,WR,0,0,100,9,0,0,0,0,2,2017
118,118,0,0,Kenny Stills,Chargers,0,0,0,0,0,0,9.0,WR,0,1,37,2,0,0,0,0,2,2017
119,119,0,0,Jeremy Maclin,Ravens,0,0,0,0,0,0,9.0,WR,0,1,31,4,0,0,0,0,2,2017
120,120,0,0,Rashard Higgins,Ravens,0,0,0,0,0,0,9.0,WR,0,0,95,7,0,1,0,4,2,2017
121,121,0,0,Michael Thomas,Saints,0,0,0,0,0,0,8.0,WR,0,0,89,5,0,0,0,0,2,2017
122,122,0,0,Mohamed Sanu,Falcons,0,0,0,0,0,0,8.0,WR,0,0,85,5,0,0,0,0,2,2017
123,123,0,0,DeVante Parker,Chargers,0,0,0,0,0,0,8.0,WR,0,0,85,4,0,0,0,0,2,2017
124,124,0,0,Marvin Jones,Giants,0,0,0,0,0,0,8.0,WR,0,1,27,1,0,0,0,0,2,2017
125,125,0,0,Demaryius Thomas,Broncos,0,0,0,0,0,0,7.0,WR,0,0,71,6,0,0,0,0,2,2017
126,126,0,0,JuJu Smith-Schuster,Steelers,0,0,0,0,0,0,7.0,WR,0,1,16,3,0,0,0,0,2,2017
127,127,0,0,Paul Richardson,Steelers,0,0,0,0,0,0,7.0,WR,0,1,19,2,0,0,0,0,2,2017
128,128,0,0,Marqise Lee,Jaguars,0,0,0,0,0,0,7.0,WR,0,0,76,7,0,0,0,0,2,2017
129,129,0,0,Jarvis Landry,Chargers,0,1,0,0,0,0,7.0,WR,0,0,78,13,0,1,0,-7,2,2017
130,130,0,0,DeAndre Hopkins,Bengals,0,0,0,0,0,0,7.0,WR,0,0,73,7,0,0,0,0,2,2017
131,131,0,0,Ryan Grant,Rams,0,0,0,0,0,0,7.0,WR,0,1,11,1,0,0,0,0,2,2017
132,132,0,0,Randall Cobb,Falcons,0,0,0,0,0,0,7.0,WR,0,0,60,6,0,1,0,10,2,2017
133,133,0,0,Jaron Brown,Colts,0,0,0,0,0,0,7.0,WR,0,0,73,4,0,0,0,0,2,2017
134,134,0,0,Kelvin Benjamin,Panthers,0,0,0,0,0,0,7.0,WR,0,0,77,6,0,0,0,0,2,2017
135,135,0,0,Kendall Wright,Buccaneers,0,0,0,0,0,0,6.0,WR,0,0,69,7,0,0,0,0,2,2017
136,136,0,0,Torrey Smith,Chiefs,0,0,0,0,0,0,6.0,WR,0,0,66,4,0,0,0,0,2,2017
137,137,0,0,Tyler Lockett,Steelers,0,0,0,0,0,0,6.0,WR,0,0,64,6,0,0,0,0,2,2017
138,138,0,0,A.J. Green,Bengals,0,0,0,0,0,0,6.0,WR,0,0,67,5,0,0,0,0,2,2017
139,139,0,0,Devin Funchess,Panthers,0,0,0,0,0,0,6.0,WR,0,0,68,4,0,0,0,0,2,2017
140,140,0,0,Alex Erickson,Bengals,0,0,0,0,0,0,6.0,WR,0,0,62,4,0,1,0,2,2,2017
141,141,0,0,Phillip Dorsett,Saints,0,0,0,0,0,0,6.0,WR,0,0,68,3,0,1,0,7,2,2017
142,142,0,0,Seth Devalve,Ravens,0,0,0,0,0,0,6.0,WR,0,0,61,2,0,0,0,0,2,2017
143,143,0,0,Antonio Brown,Steelers,0,0,0,0,0,0,6.0,WR,0,0,62,5,0,0,0,0,2,2017
144,144,0,0,Nelson Agholor,Chiefs,0,0,0,0,0,0,6.0,WR,0,1,9,1,0,0,0,0,2,2017
145,145,0,0,Tyrell Williams,Chargers,0,0,0,0,0,0,5.0,WR,0,0,54,4,0,0,0,0,2,2017
146,146,0,0,Taywan Taylor,Jaguars,0,0,0,0,0,0,5.0,WR,0,0,42,1,0,2,0,16,2,2017
147,147,0,0,Chris Conley,Chiefs,0,0,0,0,0,0,5.0,WR,0,0,55,4,0,0,0,0,2,2017
148,148,0,0,Josh Bellamy,Buccaneers,0,0,0,0,0,0,5.0,WR,0,0,51,4,0,0,0,0,2,2017
149,149,0,0,Eli Rogers,Steelers,0,0,0,0,0,0,4.0,WR,0,0,43,4,0,0,0,0,2,2017
150,150,0,0,Rishard Matthews,Jaguars,0,0,0,0,0,0,4.0,WR,0,0,43,3,0,0,0,0,2,2017
151,151,0,0,T.Y. Hilton,Colts,0,0,0,0,0,0,4.0,WR,0,0,49,4,0,0,0,0,2,2017
152,152,0,0,Tyreek Hill,Chiefs,0,0,0,0,0,0,4.0,WR,0,0,43,4,0,1,0,6,2,2017
153,153,0,0,Jamison Crowder,Rams,0,0,0,0,0,0,4.0,WR,0,0,47,4,0,0,0,0,2,2017
154,154,0,0,Doug Baldwin,Steelers,0,0,0,0,0,0,4.0,WR,0,0,44,6,0,0,0,0,2,2017
155,155,0,0,Sammy Watkins,Rams,0,0,0,0,0,0,3.0,WR,0,0,30,2,0,0,0,0,2,2017
156,156,0,0,Laquon Treadwell,Steelers,0,0,0,0,0,0,3.0,WR,0,0,33,3,0,0,0,0,2,2017
157,157,0,1,Adam Thielen,Steelers,0,0,0,0,0,0,3.0,WR,0,0,44,5,0,0,0,0,2,2017
158,158,0,0,Terrelle Pryor,Rams,0,0,0,0,0,0,3.0,WR,0,0,31,2,0,0,0,0,2,2017
159,159,0,0,Jordan Matthews,Panthers,0,0,0,0,0,0,3.0,WR,0,0,30,3,0,0,0,0,2,2017
160,160,0,0,Brandon LaFell,Bengals,0,0,0,0,0,0,3.0,WR,0,0,30,4,0,0,0,0,2,2017
161,161,0,0,Cooper Kupp,Rams,0,0,0,0,0,0,3.0,WR,0,0,33,3,0,0,0,0,2,2017
162,162,0,0,DeSean Jackson,Buccaneers,0,0,0,0,0,0,3.0,WR,0,0,39,3,0,0,0,0,2,2017
163,163,0,0,Mack Hollins,Chiefs,0,0,0,0,0,0,3.0,WR,0,0,32,3,0,0,0,0,2,2017
164,164,0,0,Eric Decker,Jaguars,0,0,0,0,0,0,3.0,WR,0,0,32,3,0,0,0,0,2,2017
165,165,0,0,Amari Cooper,Raiders,0,0,0,0,0,0,3.0,WR,0,0,33,4,0,0,0,0,2,2017
166,166,0,0,Brandin Cooks,Saints,0,0,0,0,0,0,3.0,WR,0,0,37,2,0,2,0,6,2,2017
167,167,0,0,Odell Beckham J,Giants,0,0,0,0,0,0,3.0,WR,0,0,36,4,0,0,0,0,2,2017
168,168,0,0,Cole Beasley,Broncos,0,0,0,0,0,0,3.0,WR,0,0,33,4,0,0,0,0,2,2017
169,169,0,0,Kamar Aiken,Colts,0,0,0,0,0,0,3.0,WR,0,0,31,3,0,0,0,0,2,2017
170,170,0,0,Albert Wilson,Chiefs,0,0,0,0,0,0,2.0,WR,0,0,22,2,0,1,0,4,2,2017
171,171,0,0,Golden Tate,Giants,0,0,0,0,0,0,2.0,WR,0,0,25,4,0,0,0,0,2,2017
172,172,0,0,Sterling Shepard,Giants,0,0,0,0,0,0,2.0,WR,0,0,23,2,0,2,0,7,2,2017
173,173,0,0,Josh Reynolds,Rams,0,0,0,0,0,0,2.0,WR,0,0,28,1,0,0,0,0,2,2017
174,174,0,0,Ricardo Louis,Ravens,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,0,0,0,2,2017
175,175,0,0,Cody Latimer,Broncos,0,0,0,0,0,0,2.0,WR,0,0,22,2,0,0,0,0,2,2017
176,176,0,0,Marquise Goodwin,Steelers,0,0,0,0,0,0,2.0,WR,0,0,26,3,0,0,0,0,2,2017
177,177,0,0,Brittan Golden,Colts,0,0,0,0,0,0,2.0,WR,0,0,29,1,0,0,0,0,2,2017
178,178,0,0,Ted Ginn J,Saints,0,0,0,0,0,0,2.0,WR,0,0,24,3,0,0,0,0,2,2017
179,179,0,0,Tanner Gentry,Buccaneers,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,0,0,0,2,2017
180,180,0,0,Pierre Garcon,Steelers,0,0,0,0,0,0,2.0,WR,0,0,26,3,0,0,0,0,2,2017
181,181,0,0,Larry Fitzgerald,Colts,0,0,0,0,0,0,2.0,WR,0,0,21,3,0,0,0,0,2,2017
182,182,0,0,Stefon Diggs,Steelers,0,0,0,0,0,0,2.0,WR,0,0,27,2,0,1,0,4,2,2017
183,183,0,0,Robby Anderson,Raiders,0,0,0,0,0,0,2.0,WR,0,0,28,2,0,0,0,0,2,2017
184,184,0,0,Geronimo Allison,Falcons,0,0,0,0,0,0,2.0,WR,0,0,24,3,0,0,0,0,2,2017
185,185,0,0,Terrance Williams,Broncos,0,0,0,0,0,0,1.0,WR,0,0,17,4,0,0,0,0,2,2017
186,186,0,0,Chad Williams,Colts,0,0,0,0,0,0,1.0,WR,0,0,15,1,0,0,0,0,2,2017
187,187,0,0,Donte Moncrief,Colts,0,0,0,0,0,0,1.0,WR,0,0,18,2,0,0,0,0,2,2017
188,188,0,0,Braxton Miller,Bengals,0,0,0,0,0,0,1.0,WR,0,0,10,2,0,0,0,0,2,2017
189,189,0,0,Brandon Marshall,Giants,0,0,0,0,0,0,1.0,WR,0,0,17,1,0,0,0,0,2,2017
190,190,0,0,Tommylee Lewis,Saints,0,0,0,0,0,0,1.0,WR,0,0,16,1,0,0,0,0,2,2017
191,191,0,0,Roger Lewis,Giants,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,2,2017
192,192,0,0,Jeremy Kerley,Raiders,0,0,0,0,0,0,1.0,WR,0,0,14,3,0,0,0,0,2,2017
193,193,0,0,Zay Jones,Panthers,0,0,0,0,0,0,1.0,WR,0,0,18,2,0,0,0,0,2,2017
194,194,0,0,Adam Humphries,Buccaneers,0,0,0,0,0,0,1.0,WR,0,0,18,2,0,0,0,0,2,2017
195,195,0,0,Andre Holmes,Panthers,0,0,0,0,0,0,1.0,WR,0,0,18,2,0,0,0,0,2,2017
196,196,0,0,Justin Hardy,Falcons,0,0,0,0,0,0,1.0,WR,0,0,19,1,0,0,0,0,2,2017
197,197,0,0,Taylor Gabriel,Falcons,0,0,0,0,0,0,1.0,WR,0,0,14,2,0,1,0,7,2,2017
198,198,0,0,Amara Darboh,Steelers,0,0,0,0,0,0,1.0,WR,0,0,16,1,0,0,0,0,2,2017
199,199,0,0,Keelan Cole,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,13,2,0,0,0,0,2,2017
200,200,0,0,Brice Butler,Broncos,0,0,0,0,0,0,1.0,WR,0,0,18,1,0,0,0,0,2,2017
201,201,0,0,Travis Benjamin,Chargers,0,0,0,0,0,0,1.0,WR,0,0,11,1,0,0,0,0,2,2017
202,202,0,0,Jarius Wright,Steelers,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,2,2017
203,203,0,0,Robert Woods,Rams,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,2,2017
204,204,0,0,Mike Wallace,Ravens,0,0,0,0,0,0,0.0,WR,0,0,7,1,0,0,0,0,2,2017
205,205,0,0,Trent Taylor,Steelers,0,0,0,0,0,0,0.0,WR,0,0,6,2,0,0,0,0,2,2017
206,206,0,0,Neal Sterling,Raiders,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,2,2017
207,207,0,0,Russell Shepard,Panthers,0,0,0,0,0,0,0.0,WR,0,0,6,1,0,0,0,0,2,2017
208,208,0,0,Curtis Samuel,Panthers,0,0,0,0,0,0,0.0,WR,0,0,7,2,0,0,0,0,2,2017
209,209,0,1,John Ross,Bengals,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,12,2,2017
210,210,0,0,Charone Peake,Raiders,0,0,0,0,0,0,0.0,WR,0,0,3,1,0,0,0,0,2,2017
211,211,0,0,Kenny Golladay,Giants,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,2,2017
212,212,0,0,Bennie Fowler,Broncos,0,0,0,0,0,0,0.0,WR,0,0,8,1,0,0,0,0,2,2017
213,213,0,0,Trevor Davis,Falcons,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,2,2017
214,214,0,0,Corey Davis,Jaguars,0,0,0,0,0,0,0.0,WR,0,0,4,1,0,0,0,0,2,2017
215,215,0,0,Corey Coleman,Ravens,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,2,2017
216,216,0,0,Derek Carrier,Rams,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,2,2017
217,217,0,0,Michael Campanaro,Ravens,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,1,0,5,2,2017
218,218,0,0,Kenny Britt,Ravens,0,0,0,0,0,0,0.0,WR,0,0,2,1,0,0,0,0,2,2017
219,219,0,0,Tavon Austin,Rams,0,0,0,0,0,0,0.0,WR,0,0,0,0,0,3,0,8,2,2017
220,220,0,1,Khalif Raymond,Raiders,0,0,0,0,0,0,-1.0,WR,0,0,0,0,0,0,0,0,2,2017
221,221,0,0,Stefon Diggs,Vikings,0,0,0,0,0,0,29.0,WR,0,2,173,8,0,0,0,0,3,2017
222,222,0,0,Brandin Cooks,Patriots,0,0,0,0,0,0,27.0,WR,1,2,131,5,0,0,0,0,3,2017
