,Rush Yards Allowed,Touchdowns,Receiving Yards,Interception,Fumbles Lost,Pass Yards Allowed,Pass Interceptions,Points_y,Rush Yards,Rush Attempts,Points_x,Total Yards,Pass Completions,Receiving TD,Pass Attempts,Receptions,Pass TD,Rush TD,Sack,Pass Yards,Name
0,[ 93.23076923],[ 0.38461538],[ 33.23076923],[ 1.],[ 0.],[ 261.69230769],[ 0.],[ 10.15384615],[ 0.53846154],[ 0.07692308],[ 3.84615385],[ 354.92307692],[ 0.],[ 0.15384615],[ 0.],[ 2.53846154],[ 0.],[ 0.],[ 1.53846154],[ 0.],Josh Bellamy
1,281.207100592,0.378698224852,854.437869822,0.0,0.0,265.940828402,0.0,14.7928994083,0.289940828402,0.00591715976331,14.7928994083,1094.08284024,0.0,0.0236686390533,0.0,2.36686390533,0.0,0.0,0.213017751479,0.0,Josh Bellamy
2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Josh Bellamy
3,"4    110.0
Name: Rush Yards Allowed, dtype: float64","4    1.0
Name: Touchdowns, dtype: float64","4    4.0
Name: Receiving Yards, dtype: float64","4    1.0
Name: Interception, dtype: float64","4    0.0
Name: Fumbles Lost, dtype: float64","4    278.0
Name: Pass Yards Allowed, dtype: float64","4    0.0
Name: Pass Interceptions, dtype: float64","4    14.0
Name: Points_y, dtype: float64","4    0.0
Name: Rush Yards, dtype: float64","4    0.0
Name: Rush Attempts, dtype: float64","4    0.0
Name: Points_x, dtype: float64","4    388.0
Name: Total Yards, dtype: float64","4    0.0
Name: Pass Completions, dtype: float64","4    0.0
Name: Receiving TD, dtype: float64","4    0.0
Name: Pass Attempts, dtype: float64","4    1.0
Name: Receptions, dtype: float64","4    0.0
Name: Pass TD, dtype: float64","4    0.0
Name: Rush TD, dtype: float64","4    2.0
Name: Sack, dtype: float64","4    0.0
Name: Pass Yards, dtype: float64",Josh Bellamy
0,[ 93.5],[ 0.15],[ 50.4],[ 0.85],[ 0.],[ 238.6],[ 0.],[ 8.75],[ 0.],[ 0.],[ 5.5],[ 332.1],[ 0.],[ 0.15],[ 0.],[ 3.8],[ 0.],[ 0.],[ 2.25],[ 0.],DeVante Parker
1,90.25,0.7225,2061.16,4.6225,0.0,5126.56,0.0,370.5625,0.0,0.0,30.25,3856.41,0.0,0.0225,0.0,7.84,0.0,0.0,0.5625,0.0,DeVante Parker
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,DeVante Parker
3,"8    103.0
Name: Rush Yards Allowed, dtype: float64","8    1.0
Name: Touchdowns, dtype: float64","8    5.0
Name: Receiving Yards, dtype: float64","8    3.0
Name: Interception, dtype: float64","8    0.0
Name: Fumbles Lost, dtype: float64","8    167.0
Name: Pass Yards Allowed, dtype: float64","8    0.0
Name: Pass Interceptions, dtype: float64","8    28.0
Name: Points_y, dtype: float64","8    0.0
Name: Rush Yards, dtype: float64","8    0.0
Name: Rush Attempts, dtype: float64","8    0.0
Name: Points_x, dtype: float64","8    270.0
Name: Total Yards, dtype: float64","8    0.0
Name: Pass Completions, dtype: float64","8    0.0
Name: Receiving TD, dtype: float64","8    0.0
Name: Pass Attempts, dtype: float64","8    1.0
Name: Receptions, dtype: float64","8    0.0
Name: Pass TD, dtype: float64","8    0.0
Name: Rush TD, dtype: float64","8    3.0
Name: Sack, dtype: float64","8    0.0
Name: Pass Yards, dtype: float64",DeVante Parker
0,[ 85.44444444],[ 0.33333333],[ 29.88888889],[ 1.22222222],[ 0.],[ 211.66666667],[ 0.],[ 12.55555556],[ 0.],[ 0.],[ 3.77777778],[ 297.11111111],[ 0.],[ 0.22222222],[ 0.],[ 2.55555556],[ 0.],[ 0.],[ 2.66666667],[ 0.],Zay Jones
1,11141.9753086,0.111111111111,62.2345679012,0.0493827160494,0.0,1045.44444444,0.0,42.975308642,0.0,0.0,3.16049382716,19013.345679,0.0,0.0493827160494,0.0,0.308641975309,0.0,0.0,0.111111111111,0.0,Zay Jones
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Zay Jones
3,"9    191.0
Name: Rush Yards Allowed, dtype: float64","9    0.0
Name: Touchdowns, dtype: float64","9    22.0
Name: Receiving Yards, dtype: float64","9    1.0
Name: Interception, dtype: float64","9    0.0
Name: Fumbles Lost, dtype: float64","9    244.0
Name: Pass Yards Allowed, dtype: float64","9    0.0
Name: Pass Interceptions, dtype: float64","9    6.0
Name: Points_y, dtype: float64","9    0.0
Name: Rush Yards, dtype: float64","9    0.0
Name: Rush Attempts, dtype: float64","9    2.0
Name: Points_x, dtype: float64","9    435.0
Name: Total Yards, dtype: float64","9    0.0
Name: Pass Completions, dtype: float64","9    0.0
Name: Receiving TD, dtype: float64","9    0.0
Name: Pass Attempts, dtype: float64","9    2.0
Name: Receptions, dtype: float64","9    0.0
Name: Pass TD, dtype: float64","9    0.0
Name: Rush TD, dtype: float64","9    3.0
Name: Sack, dtype: float64","9    0.0
Name: Pass Yards, dtype: float64",Zay Jones
0,[ 98.86956522],[ 0.34782609],[ 54.91304348],[ 0.82608696],[ 0.08695652],[ 299.30434783],[ 0.],[ 10.17391304],[ 0.],[ 0.],[ 6.82608696],[ 398.17391304],[ 0.],[ 0.30434783],[ 0.],[ 4.08695652],[ 0.],[ 0.],[ 2.26086957],[ 0.],Willie Snead
1,172.40831758,0.120982986767,571.833648393,0.682419659735,0.00756143667297,17504.4404537,0.0,26.7693761815,0.0,0.0,14.6389413989,14202.4215501,0.0,0.0926275992439,0.0,4.35538752363,0.0,0.0,0.0680529300567,0.0,Willie Snead
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Willie Snead
3,"4    112.0
Name: Rush Yards Allowed, dtype: float64","4    0.0
Name: Touchdowns, dtype: float64","4    31.0
Name: Receiving Yards, dtype: float64","4    0.0
Name: Interception, dtype: float64","4    0.0
Name: Fumbles Lost, dtype: float64","4    167.0
Name: Pass Yards Allowed, dtype: float64","4    0.0
Name: Pass Interceptions, dtype: float64","4    5.0
Name: Points_y, dtype: float64","4    0.0
Name: Rush Yards, dtype: float64","4    0.0
Name: Rush Attempts, dtype: float64","4    3.0
Name: Points_x, dtype: float64","4    279.0
Name: Total Yards, dtype: float64","4    0.0
Name: Pass Completions, dtype: float64","4    0.0
Name: Receiving TD, dtype: float64","4    0.0
Name: Pass Attempts, dtype: float64","4    2.0
Name: Receptions, dtype: float64","4    0.0
Name: Pass TD, dtype: float64","4    0.0
Name: Rush TD, dtype: float64","4    2.0
Name: Sack, dtype: float64","4    0.0
Name: Pass Yards, dtype: float64",Willie Snead
0,[ 118.87974269   84.76025731],[ 0.49343402 -0.01343402],[ 70.88840716  63.95159284],[ 1.69013555  0.14986445],[ 0.  0.],[ 386.55507413   97.20492587],[ 0.  0.],[ 14.46187297   4.41812703],[ 2.69607881  2.02392119],[ 0.29289391  0.38710609],[ 8.36899048  8.91100952],[ 372.9375372  314.4624628],[ 0.  0.],[ 0.37752236  0.30247764],[ 0.  0.],[ 4.27644395  5.00355605],[ 0.  0.],[ 0.  0.],[ 2.88862174  1.67137826],[ 0.  0.],Alshon Jeffery
1,1241.2989868,0.121828804957,53.2462482348,0.249373217271,0.0,9685.60376524,0.0,1.35782435923,5.68254896417,0.117818983831,7.04304616006,2097.82090315,0.0,0.117007927175,0.0,0.541773002845,0.0,0.0,0.060198681978,0.0,Alshon Jeffery
2,-3.84882416718,0.0,0.0,0.0025071309147,1.0,-2.58195405519,1.0,0.915135977548,0.0,0.0,0.0,-0.61868896848,1.0,0.0,1.0,0.0,1.0,1.0,0.759205272088,1.0,Alshon Jeffery
3,"11     98.0
12    130.0
Name: Rush Yards Allowed, dtype: float64","11    0.0
12    0.0
Name: Touchdowns, dtype: float64","11    61.0
12    61.0
Name: Receiving Yards, dtype: float64","11    1.0
12    0.0
Name: Interception, dtype: float64","11    0.0
12    0.0
Name: Fumbles Lost, dtype: float64","11    327.0
12    223.0
Name: Pass Yards Allowed, dtype: float64","11    0.0
12    0.0
Name: Pass Interceptions, dtype: float64","11    14.0
12     6.0
Name: Points_y, dtype: float64","11    0.0
12    0.0
Name: Rush Yards, dtype: float64","11    0.0
12    0.0
Name: Rush Attempts, dtype: float64","11    6.0
12    6.0
Name: Points_x, dtype: float64","11    425.0
12    353.0
Name: Total Yards, dtype: float64","11    0.0
12    0.0
Name: Pass Completions, dtype: float64","11    0.0
12    0.0
Name: Receiving TD, dtype: float64","11    0.0
12    0.0
Name: Pass Attempts, dtype: float64","11    4.0
12    4.0
Name: Receptions, dtype: float64","11    0.0
12    0.0
Name: Pass TD, dtype: float64","11    0.0
12    0.0
Name: Rush TD, dtype: float64","11    3.0
12    2.0
Name: Sack, dtype: float64","11    0.0
12    0.0
Name: Pass Yards, dtype: float64",Alshon Jeffery
0,[ 131.50769231],[ 0.23076923],[ 66.12307692],[ 1.],[ 0.01538462],[ 243.29230769],[ 0.],[ 9.30769231],[ 0.52307692],[ 0.09230769],[ 9.18461538],[ 374.8],[ 0.],[ 0.50769231],[ 0.01538462],[ 4.87692308],[ 0.],[ 0.],[ 2.38461538],[ 0.],Jeremy Maclin
1,2863.07313609,0.591715976331,631.168994083,1.0,0.000236686390533,2571.27005917,0.0,93.9408284024,0.273609467456,0.00852071005917,26.8802366864,7.84,0.0,0.25775147929,0.000236686390533,0.76899408284,0.0,0.0,0.378698224852,0.0,Jeremy Maclin
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Jeremy Maclin
3,"9    78.0
Name: Rush Yards Allowed, dtype: float64","9    1.0
Name: Touchdowns, dtype: float64","9    41.0
Name: Receiving Yards, dtype: float64","9    2.0
Name: Interception, dtype: float64","9    0.0
Name: Fumbles Lost, dtype: float64","9    294.0
Name: Pass Yards Allowed, dtype: float64","9    0.0
Name: Pass Interceptions, dtype: float64","9    19.0
Name: Points_y, dtype: float64","9    0.0
Name: Rush Yards, dtype: float64","9    0.0
Name: Rush Attempts, dtype: float64","9    4.0
Name: Points_x, dtype: float64","9    372.0
Name: Total Yards, dtype: float64","9    0.0
Name: Pass Completions, dtype: float64","9    0.0
Name: Receiving TD, dtype: float64","9    0.0
Name: Pass Attempts, dtype: float64","9    4.0
Name: Receptions, dtype: float64","9    0.0
Name: Pass TD, dtype: float64","9    0.0
Name: Rush TD, dtype: float64","9    3.0
Name: Sack, dtype: float64","9    0.0
Name: Pass Yards, dtype: float64",Jeremy Maclin
0,[ 116.25925926],[ 0.37037037],[ 27.18518519],[ 0.85185185],[ 0.],[ 290.03703704],[ 0.],[ 9.40740741],[ 0.],[ 0.],[ 3.62962963],[ 406.2962963],[ 0.],[ 0.22222222],[ 0.],[ 1.81481481],[ 0.],[ 0.],[ 1.92592593],[ 0.],Brandon Coleman
1,18.1412894376,0.137174211248,0.663923182442,0.725651577503,0.0,15138.1124829,0.0,19.4252400549,0.0,0.0,2.65569272977,16204.3470508,0.0,0.0493827160494,0.0,0.0342935528121,0.0,0.0,0.00548696844993,0.0,Brandon Coleman
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Brandon Coleman
3,"10    112.0
Name: Rush Yards Allowed, dtype: float64","10    0.0
Name: Touchdowns, dtype: float64","10    28.0
Name: Receiving Yards, dtype: float64","10    0.0
Name: Interception, dtype: float64","10    0.0
Name: Fumbles Lost, dtype: float64","10    167.0
Name: Pass Yards Allowed, dtype: float64","10    0.0
Name: Pass Interceptions, dtype: float64","10    5.0
Name: Points_y, dtype: float64","10    0.0
Name: Rush Yards, dtype: float64","10    0.0
Name: Rush Attempts, dtype: float64","10    2.0
Name: Points_x, dtype: float64","10    279.0
Name: Total Yards, dtype: float64","10    0.0
Name: Pass Completions, dtype: float64","10    0.0
Name: Receiving TD, dtype: float64","10    0.0
Name: Pass Attempts, dtype: float64","10    2.0
Name: Receptions, dtype: float64","10    0.0
Name: Pass TD, dtype: float64","10    0.0
Name: Rush TD, dtype: float64","10    2.0
Name: Sack, dtype: float64","10    0.0
Name: Pass Yards, dtype: float64",Brandon Coleman
0,[ 109.],[ 0.38596491],[ 47.70175439],[ 0.84210526],[ 0.03508772],[ 220.50877193],[ 0.],[ 11.29824561],[ 1.40350877],[ 0.1754386],[ 6.14035088],[ 329.50877193],[ 0.],[ 0.29824561],[ 0.],[ 4.10526316],[ 0.],[ 0.],[ 2.42105263],[ 0.],Kendall Wright
1,1.0,0.37703908895,515.369652201,0.0249307479224,0.00123114804555,3305.24130502,0.0,7.29947676208,1.96983687288,0.0307787011388,17.1425053863,3421.22376116,0.0,0.0889504462912,0.0,4.43213296399,0.0,0.0,0.17728531856,0.0,Kendall Wright
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Kendall Wright
3,"9    110.0
Name: Rush Yards Allowed, dtype: float64","9    1.0
Name: Touchdowns, dtype: float64","9    25.0
Name: Receiving Yards, dtype: float64","9    1.0
Name: Interception, dtype: float64","9    0.0
Name: Fumbles Lost, dtype: float64","9    278.0
Name: Pass Yards Allowed, dtype: float64","9    0.0
Name: Pass Interceptions, dtype: float64","9    14.0
Name: Points_y, dtype: float64","9    0.0
Name: Rush Yards, dtype: float64","9    0.0
Name: Rush Attempts, dtype: float64","9    2.0
Name: Points_x, dtype: float64","9    388.0
Name: Total Yards, dtype: float64","9    0.0
Name: Pass Completions, dtype: float64","9    0.0
Name: Receiving TD, dtype: float64","9    0.0
Name: Pass Attempts, dtype: float64","9    2.0
Name: Receptions, dtype: float64","9    0.0
Name: Pass TD, dtype: float64","9    0.0
Name: Rush TD, dtype: float64","9    2.0
Name: Sack, dtype: float64","9    0.0
Name: Pass Yards, dtype: float64",Kendall Wright
0,[ 99.89130435],[ 0.2173913],[ 51.86956522],[ 0.86956522],[ 0.],[ 259.06521739],[ 0.],[ 9.15217391],[ 0.04347826],[ 0.04347826],[ 7.08695652],[ 358.95652174],[ 0.],[ 0.39130435],[ 0.],[ 3.08695652],[ 0.],[ 0.],[ 2.19565217],[ 0.],Kenny Stills
1,9.66398865785,0.61247637051,2128.01701323,4.53875236295,1.0,8476.00425331,0.0,355.240548204,0.00189035916824,0.00189035916824,47.7901701323,7913.26275992,0.0,0.370510396975,0.0,3.65973534972,0.0,0.0,0.646975425331,0.0,Kenny Stills
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Kenny Stills
3,"11    103.0
Name: Rush Yards Allowed, dtype: float64","11    1.0
Name: Touchdowns, dtype: float64","11    98.0
Name: Receiving Yards, dtype: float64","11    3.0
Name: Interception, dtype: float64","11    1.0
Name: Fumbles Lost, dtype: float64","11    167.0
Name: Pass Yards Allowed, dtype: float64","11    0.0
Name: Pass Interceptions, dtype: float64","11    28.0
Name: Points_y, dtype: float64","11    0.0
Name: Rush Yards, dtype: float64","11    0.0
Name: Rush Attempts, dtype: float64","11    14.0
Name: Points_x, dtype: float64","11    270.0
Name: Total Yards, dtype: float64","11    0.0
Name: Pass Completions, dtype: float64","11    1.0
Name: Receiving TD, dtype: float64","11    0.0
Name: Pass Attempts, dtype: float64","11    5.0
Name: Receptions, dtype: float64","11    0.0
Name: Pass TD, dtype: float64","11    0.0
Name: Rush TD, dtype: float64","11    3.0
Name: Sack, dtype: float64","11    0.0
Name: Pass Yards, dtype: float64",Kenny Stills
0,[ 106.],[ 0.],[ 9.375],[ 0.625],[ 0.125],[ 219.875],[ 0.],[ 9.125],[ 0.],[ 0.],[ 0.375],[ 325.875],[ 0.],[ 0.],[ 0.],[ 1.25],[ 0.],[ 0.],[ 2.125],[ 0.],Pharoh Cooper
1,256.0,0.0,153.140625,0.140625,0.015625,47.265625,0.0,37.515625,36.0,1.0,0.140625,523.265625,0.0,0.0,0.0,0.0625,0.0,0.0,1.265625,0.0,Pharoh Cooper
2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,Pharoh Cooper
3,"5    90.0
Name: Rush Yards Allowed, dtype: float64","5    0.0
Name: Touchdowns, dtype: float64","5   -3.0
Name: Receiving Yards, dtype: float64","5    1.0
Name: Interception, dtype: float64","5    0.0
Name: Fumbles Lost, dtype: float64","5    213.0
Name: Pass Yards Allowed, dtype: float64","5    0.0
Name: Pass Interceptions, dtype: float64","5    3.0
Name: Points_y, dtype: float64","5    6.0
Name: Rush Yards, dtype: float64","5    1.0
Name: Rush Attempts, dtype: float64","5    0.0
Name: Points_x, dtype: float64","5    303.0
Name: Total Yards, dtype: float64","5    0.0
Name: Pass Completions, dtype: float64","5    0.0
Name: Receiving TD, dtype: float64","5    0.0
Name: Pass Attempts, dtype: float64","5    1.0
Name: Receptions, dtype: float64","5    0.0
Name: Pass TD, dtype: float64","5    0.0
Name: Rush TD, dtype: float64","5    1.0
Name: Sack, dtype: float64","5    0.0
Name: Pass Yards, dtype: float64",Pharoh Cooper
0,[ 103.18461538],[ 0.27692308],[ 74.33846154],[ 1.],[ 0.01538462],[ 262.8],[ 0.],[ 9.73846154],[ 0.87692308],[ 0.12307692],[ 9.6],[ 365.98461538],[ 0.],[ 0.41538462],[ 0.],[ 4.58461538],[ 0.],[ 0.],[ 2.36923077],[ 0.],T.Y. Hilton
1,1430.00331361,0.0766863905325,544.683786982,1.0,0.000236686390533,12950.44,0.0,27.6837869822,0.76899408284,0.0151479289941,1.96,5773.66177515,0.0,0.341775147929,0.0,2.51100591716,0.0,0.0,2.65940828402,0.0,T.Y. Hilton
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,T.Y. Hilton
3,"12    141.0
Name: Rush Yards Allowed, dtype: float64","12    0.0
Name: Touchdowns, dtype: float64","12    51.0
Name: Receiving Yards, dtype: float64","12    2.0
Name: Interception, dtype: float64","12    0.0
Name: Fumbles Lost, dtype: float64","12    149.0
Name: Pass Yards Allowed, dtype: float64","12    0.0
Name: Pass Interceptions, dtype: float64","12    15.0
Name: Points_y, dtype: float64","12    0.0
Name: Rush Yards, dtype: float64","12    0.0
Name: Rush Attempts, dtype: float64","12    11.0
Name: Points_x, dtype: float64","12    290.0
Name: Total Yards, dtype: float64","12    0.0
Name: Pass Completions, dtype: float64","12    1.0
Name: Receiving TD, dtype: float64","12    0.0
Name: Pass Attempts, dtype: float64","12    3.0
Name: Receptions, dtype: float64","12    0.0
Name: Pass TD, dtype: float64","12    0.0
Name: Rush TD, dtype: float64","12    4.0
Name: Sack, dtype: float64","12    0.0
Name: Pass Yards, dtype: float64",T.Y. Hilton
0,[ 113.46341463],[ 0.19512195],[ 53.75609756],[ 1.04878049],[ 0.04878049],[ 249.26829268],[ 0.],[ 9.2195122],[ 0.],[ 0.],[ 6.80487805],[ 362.73170732],[ 0.],[ 0.31707317],[ 0.],[ 4.53658537],[ 0.],[ 0.],[ 2.17073171],[ 0.],Jordan Matthews
1,6011.9220702,0.0380725758477,1580.54729328,0.00237953599048,0.00237953599048,27.754907793,0.0,10.3652587745,0.0,0.0,33.6966091612,5222.70612731,0.0,0.100535395598,0.0,12.50743605,0.0,0.0,0.687685901249,0.0,Jordan Matthews
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Jordan Matthews
3,"9    191.0
Name: Rush Yards Allowed, dtype: float64","9    0.0
Name: Touchdowns, dtype: float64","9    14.0
Name: Receiving Yards, dtype: float64","9    1.0
Name: Interception, dtype: float64","9    0.0
Name: Fumbles Lost, dtype: float64","9    244.0
Name: Pass Yards Allowed, dtype: float64","9    0.0
Name: Pass Interceptions, dtype: float64","9    6.0
Name: Points_y, dtype: float64","9    0.0
Name: Rush Yards, dtype: float64","9    0.0
Name: Rush Attempts, dtype: float64","9    1.0
Name: Points_x, dtype: float64","9    435.0
Name: Total Yards, dtype: float64","9    0.0
Name: Pass Completions, dtype: float64","9    0.0
Name: Receiving TD, dtype: float64","9    0.0
Name: Pass Attempts, dtype: float64","9    1.0
Name: Receptions, dtype: float64","9    0.0
Name: Pass TD, dtype: float64","9    0.0
Name: Rush TD, dtype: float64","9    3.0
Name: Sack, dtype: float64","9    0.0
Name: Pass Yards, dtype: float64",Jordan Matthews
0,[ 90.09090909],[ 0.18181818],[ 15.81818182],[ 1.18181818],[ 0.],[ 227.54545455],[ 0.],[ 10.09090909],[ 0.63636364],[ 0.27272727],[ 1.81818182],[ 317.63636364],[ 0.],[ 0.09090909],[ 0.],[ 1.36363636],[ 0.],[ 0.],[ 2.54545455],[ 0.],Chris Moore
1,146.190082645,0.669421487603,261.851239669,0.669421487603,0.0,4416.20661157,0.0,79.3719008264,21.4958677686,0.528925619835,1.39669421488,2955.40495868,0.0,0.00826446280992,0.0,2.67768595041,0.0,0.0,0.206611570248,0.0,Chris Moore
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Chris Moore
3,"4    78.0
Name: Rush Yards Allowed, dtype: float64","4    1.0
Name: Touchdowns, dtype: float64","4    32.0
Name: Receiving Yards, dtype: float64","4    2.0
Name: Interception, dtype: float64","4    0.0
Name: Fumbles Lost, dtype: float64","4    294.0
Name: Pass Yards Allowed, dtype: float64","4    0.0
Name: Pass Interceptions, dtype: float64","4    19.0
Name: Points_y, dtype: float64","4   -4.0
Name: Rush Yards, dtype: float64","4    1.0
Name: Rush Attempts, dtype: float64","4    3.0
Name: Points_x, dtype: float64","4    372.0
Name: Total Yards, dtype: float64","4    0.0
Name: Pass Completions, dtype: float64","4    0.0
Name: Receiving TD, dtype: float64","4    0.0
Name: Pass Attempts, dtype: float64","4    3.0
Name: Receptions, dtype: float64","4    0.0
Name: Pass TD, dtype: float64","4    0.0
Name: Rush TD, dtype: float64","4    3.0
Name: Sack, dtype: float64","4    0.0
Name: Pass Yards, dtype: float64",Chris Moore
0,[ 112.45454545],[ 0.24675325],[ 65.8961039],[ 0.84415584],[ 0.06493506],[ 251.93506494],[ 0.],[ 8.66233766],[ 0.15584416],[ 0.05194805],[ 9.7012987],[ 364.38961039],[ 0.],[ 0.5974026],[ 0.],[ 4.84415584],[ 0.],[ 0.],[ 1.98701299],[ 0.],Dez Bryant
1,3187.11570248,0.567380671277,23.9718333614,1.3359757126,0.00421656265812,780.367852926,0.0,177.893236633,0.0242874009108,0.0026986001012,5.28402766065,7121.60634171,0.0,0.162084668578,0.0,0.0242874009108,0.0,0.0,4.05211671445,0.0,Dez Bryant
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Dez Bryant
3,"11    56.0
Name: Rush Yards Allowed, dtype: float64","11    1.0
Name: Touchdowns, dtype: float64","11    61.0
Name: Receiving Yards, dtype: float64","11    2.0
Name: Interception, dtype: float64","11    0.0
Name: Fumbles Lost, dtype: float64","11    224.0
Name: Pass Yards Allowed, dtype: float64","11    0.0
Name: Pass Interceptions, dtype: float64","11    22.0
Name: Points_y, dtype: float64","11    0.0
Name: Rush Yards, dtype: float64","11    0.0
Name: Rush Attempts, dtype: float64","11    12.0
Name: Points_x, dtype: float64","11    280.0
Name: Total Yards, dtype: float64","11    0.0
Name: Pass Completions, dtype: float64","11    1.0
Name: Receiving TD, dtype: float64","11    0.0
Name: Pass Attempts, dtype: float64","11    5.0
Name: Receptions, dtype: float64","11    0.0
Name: Pass TD, dtype: float64","11    0.0
Name: Rush TD, dtype: float64","11    4.0
Name: Sack, dtype: float64","11    0.0
Name: Pass Yards, dtype: float64",Dez Bryant
0,[ 116.73333333],[ 0.13333333],[ 57.36666667],[ 0.53333333],[ 0.],[ 211.8],[ 0.],[ 8.09312158],[ 0.1],[ 0.03333333],[ 7.86666667],[ 328.53333333],[ 0.],[ 0.43333333],[ 0.],[ 3.56666667],[ 0.],[ 0.],[ 2.3],[ 0.],Sammy Watkins
1,714.671111111,0.0177777777778,375.067777778,0.217777777778,0.0,1.44,0.0,25.9398874703,0.01,0.00111111111111,1.28444444444,651.951111111,0.0,0.321111111111,0.0,0.321111111111,0.0,0.0,1.69,0.0,Sammy Watkins
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Sammy Watkins
3,"10    90.0
Name: Rush Yards Allowed, dtype: float64","10    0.0
Name: Touchdowns, dtype: float64","10    38.0
Name: Receiving Yards, dtype: float64","10    1.0
Name: Interception, dtype: float64","10    0.0
Name: Fumbles Lost, dtype: float64","10    213.0
Name: Pass Yards Allowed, dtype: float64","10    0.0
Name: Pass Interceptions, dtype: float64","10    3.0
Name: Points_y, dtype: float64","10    0.0
Name: Rush Yards, dtype: float64","10    0.0
Name: Rush Attempts, dtype: float64","10    9.0
Name: Points_x, dtype: float64","10    303.0
Name: Total Yards, dtype: float64","10    0.0
Name: Pass Completions, dtype: float64","10    1.0
Name: Receiving TD, dtype: float64","10    0.0
Name: Pass Attempts, dtype: float64","10    3.0
Name: Receptions, dtype: float64","10    0.0
Name: Pass TD, dtype: float64","10    0.0
Name: Rush TD, dtype: float64","10    1.0
Name: Sack, dtype: float64","10    0.0
Name: Pass Yards, dtype: float64",Sammy Watkins
0,[ 101.62962963],[ 0.03703704],[ 73.18518519],[ 0.51851852],[ 0.],[ 214.48148148],[ 0.],[ 8.44444444],[ 1.44444444],[ 0.37037037],[ 8.88888889],[ 316.11111111],[ 0.],[ 0.33333333],[ 0.],[ 5.51851852],[ 0.],[ 0.],[ 2.62962963],[ 0.],Stefon Diggs
1,11.3593964335,0.00137174211248,1696.21947874,0.268861454047,0.0,55.9725651578,0.0,5.97530864198,12.6419753086,0.396433470508,34.6790123457,16.9012345679,0.0,0.111111111111,0.0,12.3799725652,0.0,0.0,0.396433470508,0.0,Stefon Diggs
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Stefon Diggs
