Year,Week,Name,50+,FGA,FGM,Opponent,Points,Position,XPA,XPM,Away Games
2013,3,David Akers,0,2,2,Redskins,9.0,K,3,3,1
2013,3,John Potter,0,2,2,Lions,8.0,K,2,2,0
2013,3,Rob Bironas,0,3,2,Chargers,8.0,K,2,2,0
2013,3,Spencer Lanning,0,0,0,Min,7.0,K,1,1,1
2013,3,Garrett Hartley,0,1,1,Cardinals,7.0,K,4,4,0
2013,3,Dan Bailey,0,2,1,Rams,7.0,K,4,4,0
2013,3,Billy Cundiff,0,1,1,Min,6.0,K,3,3,1
2013,3,Josh Scobee,0,1,1,Seahawks,5.0,K,2,2,1
2013,3,Nick Novak,0,2,1,Titans,5.0,K,2,2,1
2013,3,Mike Nugent,0,1,0,Packers,4.0,K,5,4,0
2013,3,Alex Henery,0,2,1,Chiefs,4.0,K,1,1,0
2013,3,Rian Lindell,0,2,1,Patriots,3.0,K,0,0,1
2013,3,Sebastian Janikowski,0,0,0,Broncos,3.0,K,3,3,1
2013,3,Greg Zuerlein,0,0,0,Cowboys,1.0,K,1,1,1
2013,3,Jay Feely,0,0,0,Saints,1.0,K,1,1,1
2013,3,Phil Dawson,0,0,0,Colts,1.0,K,1,1,0
2013,3,Brett Kern,0,0,0,Chargers,0.0,K,0,0,0
2013,3,Johnny Hekker,0,0,0,Cowboys,0.0,K,0,0,1
2013,3,Josh Brown,0,1,0,Panthers,0.0,K,0,0,1
2013,4,David Akers,0,4,4,Bears,16.0,K,4,4,0
2013,4,Adam Vinatieri,0,3,3,Jaguars,13.0,K,4,4,1
2013,4,Blair Walsh,1,3,2,Steelers,12.0,K,4,4,0
2013,4,Matt Prater,1,1,1,Eagles,12.0,K,7,7,0
2013,4,Nick Novak,0,3,3,Cowboys,12.0,K,3,3,0
2013,4,Stephen Gostkowski,0,3,3,Falcons,12.0,K,3,3,1
2013,4,Stephen Hauschka,0,3,3,Texans,11.0,K,2,2,1
2013,4,Dan Carpenter,0,3,3,Ravens,11.0,K,2,2,0
2013,4,Matt Bryant,0,3,3,Patriots,11.0,K,2,2,0
2013,4,Robbie Gould,0,3,3,Lions,10.0,K,1,1,1
2013,4,Shaun Suisham,0,2,2,Min,9.0,K,3,3,1
2013,4,Ryan Succop,1,1,1,Giants,9.0,K,4,4,0
2013,4,Justin Tucker,0,2,2,Bills,8.0,K,2,2,1
2013,4,Alex Henery,0,3,2,Broncos,8.0,K,2,2,1
2013,4,Garrett Hartley,0,2,1,Dolphins,8.0,K,5,5,0
2013,4,Randy Bullock,0,2,2,Seahawks,8.0,K,2,2,0
2013,4,Rob Bironas,0,1,1,Jets,8.0,K,5,5,0
2013,4,Nick Folk,0,2,2,Titans,7.0,K,1,1,1
2013,4,Jay Feely,0,2,2,Buccaneers,7.0,K,1,1,1
2013,4,Billy Cundiff,1,3,1,Bengals,7.0,K,2,2,0
2013,4,John Potter,0,1,1,Raiders,6.0,K,3,3,1
2013,4,Mike Nugent,0,2,2,Browns,6.0,K,0,0,1
2013,4,Rian Lindell,1,1,1,Cardinals,6.0,K,1,1,0
2013,4,Caleb Sturgis,0,1,1,Saints,5.0,K,2,2,1
2013,4,Josh Scobee,1,1,1,Colts,5.0,K,0,0,0
2013,4,Phil Dawson,0,2,0,Rams,5.0,K,5,5,1
2013,4,Greg Zuerlein,0,1,1,49ers,3.0,K,0,0,0
2013,4,Dan Bailey,0,1,0,Chargers,3.0,K,3,3,1
2013,4,Sebastian Janikowski,0,1,0,Redskins,2.0,K,2,2,0
2013,4,Josh Brown,0,1,0,Chiefs,1.0,K,1,1,1
2013,5,Alex Henery,0,5,5,Giants,18.0,K,3,3,1
2013,5,Mason Crosby,1,5,5,Lions,18.0,K,1,1,0
2013,5,Matt Prater,1,3,3,Cowboys,17.0,K,6,6,1
2013,5,Justin Tucker,1,4,4,Dolphins,16.0,K,2,2,1
2013,5,Ryan Succop,0,4,4,Titans,14.0,K,2,2,1
2013,5,Stephen Hauschka,0,5,4,Colts,14.0,K,2,2,1
2013,5,Garrett Hartley,0,4,4,Bears,14.0,K,2,2,1
2013,5,Billy Cundiff,0,3,3,Bills,13.0,K,4,4,0
2013,5,Nick Folk,0,3,3,Falcons,12.0,K,3,3,1
